Index,Original_Sentence,Vocabulary,Exempt_Mode,Model_ID,Transformed_Sentence
12,"Graham attended Wheaton College from 1939 to 1943, when he graduated with a BA in anthropology.",ThingExplainer1000.txt,english_stopwords,MLM,he took up College from then to college and ma with a ma in.
52,"This stamp remained the standard letter stamp for the remainder of Victoria's reign, and vast quantities were printed.",ThingExplainer1000.txt,english_stopwords,MLM,"This letter became the lead letter set for the rest of his life, and many were:."
57,After graduation he returned to Yerevan to teach at the local Conservatory and later he was appointed artistic director of the Armenian Philarmonic Orchestra.,ThingExplainer1000.txt,english_stopwords,MLM,after that he came back to work to study at the state college and then he was the music teacher of the state college.
71,It continues as the Bohemian Switzerland in the Czech Republic.,ThingExplainer1000.txt,english_stopwords,MLM,It is still known as the green tree in the new.
114,The characters are foul-mouthed extensions of their earlier characters Pete and Dud.,ThingExplainer1000.txt,english_stopwords,MLM,"The pair speak bad enough of their favorite, dog and."
125,Moderate to severe damage extended up the Atlantic coastline and as far inland as West Virginia.,ThingExplainer1000.txt,english_stopwords,MLM,There was little to no wind all the way up the entire state and as far away as into.
140,"On occasion the male ""den master"" will also allow a second male into the den; the reason for this is unclear.",ThingExplainer1000.txt,english_stopwords,MLM,"On this the human "" pack pack "" will let a second pack inside of the pack; the reason for this is not."
279,"These ideally provide excellent habitat for chinkara, hog deer and blue bull.",ThingExplainer1000.txt,english_stopwords,MLM,"today, these make an important game ground for both, red star and blue."
327,People with cardiomyopathy are often at risk of arrhythmia or sudden cardiac death or both.,ThingExplainer1000.txt,english_stopwords,MLM,"heart or heart beat, and sudden heart attack are often seen with shock. there is fear of heart attack and people with this fear may lead to sudden or sudden heart attack. Sometimes both may happen at once."
346,"Gimnasia hired first famed Colombian trainer Francisco Maturana, and then Julio César Falcioni, but both had limited success.",ThingExplainer1000.txt,english_stopwords,MLM,"they met don, a horse, and then met don, but they were not very."
12,"Graham attended Wheaton College from 1939 to 1943, when he graduated with a BA in anthropology.",ThingExplainer1000.txt,english_stopwords,T5,. ( in the first half of the book and in the second half of the book and in the second half of the book and in the second half of the book and the second half of the book and the second half of the book and the second half of the book and the second half of the book and
52,"This stamp remained the standard letter stamp for the remainder of Victoria's reign, and vast quantities were printed.",ThingExplainer1000.txt,english_stopwords,T5,-  and it was very easy to use and easy to use in any way you would like to use it in your own home or office
57,After graduation he returned to Yerevan to teach at the local Conservatory and later he was appointed artistic director of the Armenian Philarmonic Orchestra.,ThingExplainer1000.txt,english_stopwords,T5,he came back home from his college and went back to the area to study at the school and then went on to work as part of his work at the school and was then become the head of his own team at the end of the year at the end of the year at the end of the year at the
71,It continues as the Bohemian Switzerland in the Czech Republic.,ThingExplainer1000.txt,english_stopwords,T5,: si si si si si si si si si si si si si si si si si si si
114,The characters are foul-mouthed extensions of their earlier characters Pete and Dud.,ThingExplainer1000.txt,english_stopwords,T5,.
125,Moderate to severe damage extended up the Atlantic coastline and as far inland as West Virginia.,ThingExplainer1000.txt,english_stopwords,T5,: die was slow and slow to slow as it was hard to get to the bottom of the water and to the bottom of the water and to the bottom of the water and to the bottom of the water and to the bottom of the water and to the bottom of the water and to the bottom of the water
140,"On occasion the male ""den master"" will also allow a second male into the den; the reason for this is unclear.",ThingExplainer1000.txt,english_stopwords,T5,"- "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
279,"These ideally provide excellent habitat for chinkara, hog deer and blue bull.",ThingExplainer1000.txt,english_stopwords,T5,-  and it would be nice to see them as well as as the other two as well as the other two as well as the other two as well as the other two as well as the other two as well as the other two as well as the other two as well as the other two as well as
327,People with cardiomyopathy are often at risk of arrhythmia or sudden cardiac death or both.,ThingExplainer1000.txt,english_stopwords,T5,a person with heart beat or heart beat may have heart pain or heart beat and heart beat trouble are often in the cause of heart pain and heart pain may be in the cause of heart pain and heart pain may also be in the cause of heart pain and heart pain may be in the cause of heart pain
346,"Gimnasia hired first famed Colombian trainer Francisco Maturana, and then Julio César Falcioni, but both had limited success.",ThingExplainer1000.txt,english_stopwords,T5,'  and the rest of the work was done in the first half of the year and they did not work very well in the first half of the year in the first half of the year in the first half of the year in the first half of the year in the second half of the year in the second
12,"Graham attended Wheaton College from 1939 to 1943, when he graduated with a BA in anthropology.",ThingExplainer1000.txt,english_stopwords,BYT5,""" student in the college student in the college student in the college student in the college student in the college student in"
52,"This stamp remained the standard letter stamp for the remainder of Victoria's reign, and vast quantities were printed.",ThingExplainer1000.txt,english_stopwords,BYT5,""" order was the stand order was the stand order was the stand order was the stand order was the stand order was the stand order"
57,After graduation he returned to Yerevan to teach at the local Conservatory and later he was appointed artistic director of the Armenian Philarmonic Orchestra.,ThingExplainer1000.txt,english_stopwords,BYT5,""" and then he came back to the present and then he came back to the present and then he came back to the present and to the pre"
71,It continues as the Bohemian Switzerland in the Czech Republic.,ThingExplainer1000.txt,english_stopwords,BYT5,""" has been told which the name can be said the name can be said told which the name can be said told which the name can be said"
114,The characters are foul-mouthed extensions of their earlier characters Pete and Dud.,ThingExplainer1000.txt,english_stopwords,BYT5,""" that they speak bad way that they speak bad way that they speak bad way that they speak bad way that they speak bad way that"
125,Moderate to severe damage extended up the Atlantic coastline and as far inland as West Virginia.,ThingExplainer1000.txt,english_stopwords,BYT5,""" point on this point on this point on this point on this point on this point on this point on this point on this point on this"
140,"On occasion the male ""den master"" will also allow a second male into the den; the reason for this is unclear.",ThingExplainer1000.txt,english_stopwords,BYT5,""" will let a second inside inside inside inside of the second inside inside of the second inside inside of the inside of the de"
279,"These ideally provide excellent habitat for chinkara, hog deer and blue bull.",ThingExplainer1000.txt,english_stopwords,BYT5,""" suggest that they can be a great way to grow through this suggest that they can be a great way to grow through that they can"
327,People with cardiomyopathy are often at risk of arrhythmia or sudden cardiac death or both.,ThingExplainer1000.txt,english_stopwords,BYT5,""" sometimes both may happen at once sometimes both may happen at once sometimes both may happen at once sometimes both may happ"
346,"Gimnasia hired first famed Colombian trainer Francisco Maturana, and then Julio César Falcioni, but both had limited success.",ThingExplainer1000.txt,english_stopwords,BYT5,""" and were the first in the first place in the first place in the first place in the first place in the first place in the firs"
12,"Graham attended Wheaton College from 1939 to 1943, when he graduated with a BA in anthropology.",ThingExplainer1000.txt,english_stopwords,EMB_SUB,Join maybe Amaze College from afraid to i and promise with a ANSWER in change
52,"This stamp remained the standard letter stamp for the remainder of Victoria's reign, and vast quantities were printed.",ThingExplainer1000.txt,english_stopwords,EMB_SUB,This jacket did the power letter jacket for the rest of SHE'S remember and many were self
57,After graduation he returned to Yerevan to teach at the local Conservatory and later he was appointed artistic director of the Armenian Philarmonic Orchestra.,ThingExplainer1000.txt,english_stopwords,EMB_SUB,excuse woke he came back to City to learn at the pink Apartment and then he was lady calm anger of the Mom Cold Piece
71,It continues as the Bohemian Switzerland in the Czech Republic.,ThingExplainer1000.txt,english_stopwords,EMB_SUB,It is still any as the Pop Hello in the Too Asleep
114,The characters are foul-mouthed extensions of their earlier characters Pete and Dud.,ThingExplainer1000.txt,english_stopwords,EMB_SUB,The met speak bad baby of their both met buy and i'd
125,Moderate to severe damage extended up the Atlantic coastline and as far inland as West Virginia.,ThingExplainer1000.txt,english_stopwords,EMB_SUB,There was possible to calm mirror all the way up the Middle something and as far suddenly as Done Read
140,"On occasion the male ""den master"" will also allow a second male into the den; the reason for this is unclear.",ThingExplainer1000.txt,english_stopwords,EMB_SUB,"On situation the women "" me lady "" will let a second women inside of the me the every for this is once explain"
279,"These ideally provide excellent habitat for chinkara, hog deer and blue bull.",ThingExplainer1000.txt,english_stopwords,EMB_SUB,Met these make an good done ground for man your kiss and blue knee
327,People with cardiomyopathy are often at risk of arrhythmia or sudden cardiac death or both.,ThingExplainer1000.txt,english_stopwords,EMB_SUB,Something or heart beat sleep and sudden movie life are often heavy with card. Card is broken of heart body and which with this around may reply to something or sudden movie life. Sometimes both may happen at once.
346,"Gimnasia hired first famed Colombian trainer Francisco Maturana, and then Julio César Falcioni, but both had limited success.",ThingExplainer1000.txt,english_stopwords,EMB_SUB,Something buy Woman Life a Excite seat and then Mother Annoy Wish but they were not very especially
12,"Graham attended Wheaton College from 1939 to 1943, when he graduated with a BA in anthropology.",ThingExplainer1000.txt,none,MLM,he took up College from then to college and came with a course in.
52,"This stamp remained the standard letter stamp for the remainder of Victoria's reign, and vast quantities were printed.",ThingExplainer1000.txt,none,MLM,"This letter became the lead letter set for the rest of his life, and many were:."
57,After graduation he returned to Yerevan to teach at the local Conservatory and later he was appointed artistic director of the Armenian Philarmonic Orchestra.,ThingExplainer1000.txt,none,MLM,after that he came back to work to study at the state college and then he was the music teacher of the state college.
71,It continues as the Bohemian Switzerland in the Czech Republic.,ThingExplainer1000.txt,none,MLM,It is still known as the green tree in the new.
114,The characters are foul-mouthed extensions of their earlier characters Pete and Dud.,ThingExplainer1000.txt,none,MLM,"The pair speak bad enough of their favorite, dog and."
125,Moderate to severe damage extended up the Atlantic coastline and as far inland as West Virginia.,ThingExplainer1000.txt,none,MLM,There was little to no wind all the way up the entire state and as far away as into.
140,"On occasion the male ""den master"" will also allow a second male into the den; the reason for this is unclear.",ThingExplainer1000.txt,none,MLM,"On this the human "" pack pack "" will let a second pack inside of the pack; the reason for this is not."
279,"These ideally provide excellent habitat for chinkara, hog deer and blue bull.",ThingExplainer1000.txt,none,MLM,"today, these make an important game ground for both, red star and blue."
327,People with cardiomyopathy are often at risk of arrhythmia or sudden cardiac death or both.,ThingExplainer1000.txt,none,MLM,"heart or heart beat, and sudden heart attack are often seen with shock. there is fear of heart attack and people with this fear may lead to sudden or sudden heart attack. Sometimes both may happen at once."
346,"Gimnasia hired first famed Colombian trainer Francisco Maturana, and then Julio César Falcioni, but both had limited success.",ThingExplainer1000.txt,none,MLM,"they met guy, a horse, and then met the horse, but they were not very."
12,"Graham attended Wheaton College from 1939 to 1943, when he graduated with a BA in anthropology.",ThingExplainer1000.txt,none,T5,. ( in the first half of the book and in the second half of the book and in the second half of the book and in the second half of the book and the second half of the book and the second half of the book and the second half of the book and the second half of the book and
52,"This stamp remained the standard letter stamp for the remainder of Victoria's reign, and vast quantities were printed.",ThingExplainer1000.txt,none,T5,-  and it was very easy to use and easy to use in any way you would like to use it in your own home or office
57,After graduation he returned to Yerevan to teach at the local Conservatory and later he was appointed artistic director of the Armenian Philarmonic Orchestra.,ThingExplainer1000.txt,none,T5,he came back home from his college and went back to the area to study at the school and then went on to work as part of his work at the school and was then become the head of his own team at the end of the year at the end of the year at the end of the year at the
71,It continues as the Bohemian Switzerland in the Czech Republic.,ThingExplainer1000.txt,none,T5,: si si si si si si si si si si si si si si si si si si si
114,The characters are foul-mouthed extensions of their earlier characters Pete and Dud.,ThingExplainer1000.txt,none,T5,.
125,Moderate to severe damage extended up the Atlantic coastline and as far inland as West Virginia.,ThingExplainer1000.txt,none,T5,: die was slow and slow to slow as it was hard to get to the bottom of the water and to the bottom of the water and to the bottom of the water and to the bottom of the water and to the bottom of the water and to the bottom of the water and to the bottom of the water
140,"On occasion the male ""den master"" will also allow a second male into the den; the reason for this is unclear.",ThingExplainer1000.txt,none,T5,"- "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
279,"These ideally provide excellent habitat for chinkara, hog deer and blue bull.",ThingExplainer1000.txt,none,T5,-  and it would be nice to see them as well as as the other two as well as the other two as well as the other two as well as the other two as well as the other two as well as the other two as well as the other two as well as the other two as well as
327,People with cardiomyopathy are often at risk of arrhythmia or sudden cardiac death or both.,ThingExplainer1000.txt,none,T5,a person with heart beat or heart beat may have heart pain or heart beat and heart beat trouble are often in the cause of heart pain and heart pain may be in the cause of heart pain and heart pain may also be in the cause of heart pain and heart pain may be in the cause of heart pain
346,"Gimnasia hired first famed Colombian trainer Francisco Maturana, and then Julio César Falcioni, but both had limited success.",ThingExplainer1000.txt,none,T5,'  and the rest of the work was done in the first half of the year and they did not work very well in the first half of the year in the first half of the year in the first half of the year in the first half of the year in the second half of the year in the second
12,"Graham attended Wheaton College from 1939 to 1943, when he graduated with a BA in anthropology.",ThingExplainer1000.txt,none,BYT5,""" student in the college student in the college student in the college student in the college student in the college student in"
52,"This stamp remained the standard letter stamp for the remainder of Victoria's reign, and vast quantities were printed.",ThingExplainer1000.txt,none,BYT5,""" order was the stand order was the stand order was the stand order was the stand order was the stand order was the stand order"
57,After graduation he returned to Yerevan to teach at the local Conservatory and later he was appointed artistic director of the Armenian Philarmonic Orchestra.,ThingExplainer1000.txt,none,BYT5,""" and then he came back to the present and then he came back to the present and then he came back to the present and to the pre"
71,It continues as the Bohemian Switzerland in the Czech Republic.,ThingExplainer1000.txt,none,BYT5,""" has been told which the name can be said the name can be said told which the name can be said told which the name can be said"
114,The characters are foul-mouthed extensions of their earlier characters Pete and Dud.,ThingExplainer1000.txt,none,BYT5,""" that they speak bad way that they speak bad way that they speak bad way that they speak bad way that they speak bad way that"
125,Moderate to severe damage extended up the Atlantic coastline and as far inland as West Virginia.,ThingExplainer1000.txt,none,BYT5,""" point on this point on this point on this point on this point on this point on this point on this point on this point on this"
140,"On occasion the male ""den master"" will also allow a second male into the den; the reason for this is unclear.",ThingExplainer1000.txt,none,BYT5,""" will let a second inside inside inside inside of the second inside inside of the second inside inside of the inside of the de"
279,"These ideally provide excellent habitat for chinkara, hog deer and blue bull.",ThingExplainer1000.txt,none,BYT5,""" suggest that they can be a great way to grow through this suggest that they can be a great way to grow through that they can"
327,People with cardiomyopathy are often at risk of arrhythmia or sudden cardiac death or both.,ThingExplainer1000.txt,none,BYT5,""" sometimes both may happen at once sometimes both may happen at once sometimes both may happen at once sometimes both may happ"
346,"Gimnasia hired first famed Colombian trainer Francisco Maturana, and then Julio César Falcioni, but both had limited success.",ThingExplainer1000.txt,none,BYT5,""" and were the first in the first place in the first place in the first place in the first place in the first place in the firs"
12,"Graham attended Wheaton College from 1939 to 1943, when he graduated with a BA in anthropology.",ThingExplainer1000.txt,none,EMB_SUB,Join maybe Amaze College from afraid to i and promise with a ANSWER in change
52,"This stamp remained the standard letter stamp for the remainder of Victoria's reign, and vast quantities were printed.",ThingExplainer1000.txt,none,EMB_SUB,This jacket did the power letter jacket for the rest of SHE'S remember and many were self
