Index,Original_Sentence,Vocabulary,Exempt_Mode,Model_ID,Transformed_Sentence
12,A skilled person is riding a bicycle on one wheel,ThingExplainer1000.txt,english_stopwords,MLM,A single person is on a horse on one side
52,A man is jumping into an empty pool,ThingExplainer1000.txt,english_stopwords,MLM,A man is led into an empty.
57,Four girls are doing backbends and playing outdoors,ThingExplainer1000.txt,english_stopwords,MLM,Four people are doing business and live together
71,A man is sitting in a field,ThingExplainer1000.txt,english_stopwords,MLM,A man is lost in a field
114,A motorcyclist with a red helmet is riding a blue motorcycle down the road,ThingExplainer1000.txt,english_stopwords,MLM,A person with a red shirt is on a blue bus down the road
125,The blond girl is dancing behind the sound equipment,ThingExplainer1000.txt,english_stopwords,MLM,The little girl is left behind the sound.
140,The woman is wearing glasses and a black headdress,ThingExplainer1000.txt,english_stopwords,MLM,The woman is wore black and a black.
327,A boy is climbing up a wall artificially built for climbing and is attached to a rope,ThingExplainer1000.txt,english_stopwords,MLM,A boy is brought up a wall usually meant for escape and is held to a.
377,A man is leading the race,ThingExplainer1000.txt,english_stopwords,MLM,A man is in the race
379,A man is leading the race,ThingExplainer1000.txt,english_stopwords,MLM,A man is in the race
12,A skilled person is riding a bicycle on one wheel,ThingExplainer1000.txt,english_stopwords,T5,.
52,A man is jumping into an empty pool,ThingExplainer1000.txt,english_stopwords,T5,.
57,Four girls are doing backbends and playing outdoors,ThingExplainer1000.txt,english_stopwords,T5,:
71,A man is sitting in a field,ThingExplainer1000.txt,english_stopwords,T5,.
114,A motorcyclist with a red helmet is riding a blue motorcycle down the road,ThingExplainer1000.txt,english_stopwords,T5,: ( in the name of the blue and blue road in the name of the blue and blue road
125,The blond girl is dancing behind the sound equipment,ThingExplainer1000.txt,english_stopwords,T5,.
140,The woman is wearing glasses and a black headdress,ThingExplainer1000.txt,english_stopwords,T5,.
327,A boy is climbing up a wall artificially built for climbing and is attached to a rope,ThingExplainer1000.txt,english_stopwords,T5,.
377,A man is leading the race,ThingExplainer1000.txt,english_stopwords,T5,.
379,A man is leading the race,ThingExplainer1000.txt,english_stopwords,T5,.
12,A skilled person is riding a bicycle on one wheel,ThingExplainer1000.txt,english_stopwords,BYT5,""" on one which one which one which one which one which one which one which one which one which one which one which one which on"
